id,company_name,ceo_name,biz_type,biz_number,address,address_detail,phone,biz_category,biz_item,latitude,longitude
55f22319-2b97-49f7-a76a-2bebc1f5c669,(사)나눔세상 휴먼플러스,김보연,법인,680-82-00118,서울 영등포구 신길로 220,07313 서울 영등포구 신길로 220 102호(신길동),010-5585-7137,서비스업,자원봉사활동 관련 서비스,37.5117087,126.9102898
2170fcff-6b1c-4355-b4b1-f26631822af9,(사)부산십대선교회 YFC,허영구,개인,614-82-68289,부산광역시 부산진구 가야공원로303호(가야동,"47383 부산광역시 부산진구 가야공원로 39 1동3층303호(가야동, 가야반도보라빌)",--,,,35.1480384,129.0290417
0b07c03d-918e-4c5a-8907-c412d2b5a148,(사)한국에스아이엠국제선교회,성남용,개인,129-82-07917,경기도 성남시 분당구 돌마로 47 602,"13615 경기도 성남시 분당구 돌마로 47 602,603호(금곡동, 이코노샤르망)",--,,,37.350384,127.1073771
8f0e27a1-462c-4cf5-9aef-6d47d26afeca,(재)기독교대한감리회유지재단,전명구,법인,124-82-17370,경기도 오산시 오산로 253-1 (오산동,"18136 경기도 오산시 오산로 253-1 (오산동, 보금자리)",010-3137-0116,부동산업,임대,37.1497419,127.0683393
f18bb31b-7456-45f1-b6fd-3979db097816,(재)대한예수교장로회 합신총회유지재단,박영선,법인,134-82-03489,서울특별시 종로구 김상옥로 30 (연지동,"03129 서울특별시 종로구 김상옥로 30 (연지동, 한국기독교연합회관)",010-8758-7077,,,37.5729123,127.000888
4ea6d023-f59d-4c6b-b21a-9beb2e44da3e,(주)감성,임명희,법인,129-81-89101,경기도 화성시 병점3로 37,18401 경기도 화성시 병점3로 37 202호(병점동),031-718-4659,건설업,"실내인테리어,실내건축공사",37.2083014,127.0375682
a921b1f4-7ffc-4110-a594-0b729121fb50,(주)감성 2022,임명희,법인,129-81-89101,경기도 화성시 장안면 장안로 388,18583 경기도 화성시 장안면 장안로 388 103호,031-718-4659,건설업,"실내인테리어,실내건축공사",37.0790089,126.8568281
8109e762-93e6-442e-966e-5a2a96d1bec0,(주)감성 용인지점,임명희,법인,218-85-06000,경기도 용인시 기흥구 구성로 357(청덕동,"16914 경기도 용인시 기흥구 구성로 357 D동 302호(청덕동, 용인테크노밸리)",031-718-4659,"제조,서비스","인쇄업,출판업,산업디자인",37.2913994,127.1480524
23a27c21-8735-45f1-9579-9bc451550158,(주)강남노블부동산중개법인,서시은,법인,309-88-02015,서울특별시 강남구 도산대로89길 35 (청담동,"06012 서울특별시 강남구 도산대로89길 35 102호 (청담동, 청담범신칼릭스빌2차)",010-8933-5333,부동산업,부동산 중개 및 대리업,37.5267317,127.0517459
c0f90300-c115-40f2-b2f3-4b934dff6dea,(주)고래픽쳐스,김주경,법인,626-88-00469,서울 마포구 월드컵로7길 118,04020 서울 마포구 월드컵로7길 118 2층(합정동),02-2135-1570,정보서비스(출판/영상/방송통신)업,일반영화제작,37.5517529,126.9059721
